Match_ID,Date,Round,Team1,Team2,Team1_Fouls,Team2_Fouls,Extra_Time,Stage,Total_Fouls,Team1_Goals,Team2_Goals,Goal_Difference
61,26/06/2026,Group Stage,Norway,France,9.0,11.0,False,Group Stage,20.0,1,4,-3
62,26/06/2026,Group Stage,Senegal,Iraq,10.0,11.0,False,Group Stage,21.0,5,0,5
63,27/06/2026,Group Stage,Cape Verde,Saudi Arabia,10.0,16.0,False,Group Stage,26.0,0,1,-1
64,27/06/2026,Group Stage,Uruguay,Spain,14.0,14.0,False,Group Stage,28.0,0,1,-1
65,27/06/2026,Group Stage,Egypt,Iran,11.0,16.0,False,Group Stage,27.0,1,1,0
66,27/06/2026,Group Stage,New Zealand,Belgium,10.0,7.0,False,Group Stage,17.0,1,5,-4
67,27/06/2026,Group Stage,Croatia,Ghana,9.0,13.0,False,Group Stage,22.0,2,1,1
68,27/06/2026,Group Stage,Panama,England,16.0,13.0,False,Group Stage,29.0,0,2,-2
69,28/06/2026,Group Stage,Colombia,Portugal,12.0,6.0,False,Group Stage,18.0,0,0,0
70,28/06/2026,Group Stage,D.R. Congo,Uzbekistan,6.0,16.0,False,Group Stage,22.0,3,1,2
71,28/06/2026,Group Stage,Algeria,Austria,3.0,7.0,False,Group Stage,10.0,3,3,0
72,28/06/2026,Group Stage,Jordan,Argentina,13.0,7.0,False,Group Stage,20.0,1,3,-2
73,28/06/2026,Round of 32,South Africa,Canada,10.0,16.0,False,Knockout,26.0,0,1,-1
74,29/06/2026,Round of 32,Brazil,Japan,4.0,13.0,False,Knockout,17.0,2,1,1
75,29/06/2026,Round of 32,Germany,Paraguay,18.0,12.0,True,Knockout,30.0,1,1,0
76,29/06/2026,Round of 32,Netherlands,Morocco,18.0,15.0,True,Knockout,33.0,1,1,0
77,30/06/2026,Round of 32,Ivory Coast,Norway,6.0,7.0,False,Knockout,13.0,1,2,-1
78,30/06/2026,Round of 32,France,Sweden,14.0,10.0,False,Knockout,24.0,3,0,3
79,30/06/2026,Round of 32,Mexico,Ecuador,10.0,14.0,False,Knockout,24.0,2,0,2
80,01/07/2026,Round of 32,England,D.R. Congo,10.0,14.0,False,Knockout,24.0,2,1,1
81,01/07/2026,Round of 32,Belgium,Senegal,22.0,12.0,True,Knockout,34.0,3,2,1
82,01/07/2026,Round of 32,USA,Bosnia & Herzegovina,7.0,13.0,False,Knockout,20.0,2,0,2
83,02/07/2026,Round of 32,Spain,Austria,8.0,15.0,False,Knockout,23.0,3,0,3
84,02/07/2026,Round of 32,Portugal,Croatia,6.0,12.0,False,Knockout,18.0,2,1,1
85,02/07/2026,Round of 32,Switzerland,Algeria,10.0,12.0,False,Knockout,22.0,2,0,2
86,03/07/2026,Round of 32,Australia,Egypt,12.0,14.0,True,Knockout,26.0,1,1,0
87,03/07/2026,Round of 32,Argentina,Cape Verde,13.0,12.0,True,Knockout,25.0,3,2,1
88,03/07/2026,Round of 32,Colombia,Ghana,14.0,10.0,False,Knockout,24.0,1,0,1
89,04/07/2026,Round of 16,Canada,Morocco,24.0,14.0,False,Knockout,38.0,0,3,-3
